spec;sk;k1;k2;k3;k4;k5;k6;b;p_b
capture noisily mixed    loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.pe;23;1;1;1;2;2;2;.0036972703;.52056795
capture noisily mixed    loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.pe;24;1;1;1;2;2;3;.010625797;.074515015
capture noisily reghdfe  loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.pers_o;25;1;1;1;2;3;1;.019060396;.015195919
capture noisily mixed    loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.pers_o;26;1;1;1;2;3;2;.00266996;.67859423
capture noisily mixed    loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.pers_o;27;1;1;1;2;3;3;.014581947;.035037991
capture noisily reghdfe  loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.per;28;1;1;1;2;4;1;.011780067;.015077025
capture noisily mixed    loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.per;29;1;1;1;2;4;2;.0065217479;.11551263
capture noisily mixed    loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.per;30;1;1;1;2;4;3;.010229157;.014840272
capture noisily reghdfe  loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.pers;31;1;1;1;2;5;1;.014489796;.012226018
capture noisily mixed    loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short  b1.isco08_1d c.pers_evw1 c.pers_agw1 c.pers_conw1 c.pers_neuw1 c.pers;32;1;1;1;2;5;2;.0071322741;.12772948
